epoch,train_mae,val_mae,lr,train_mape,train_rmse,val_mape,val_rmse
1,4.211537134079706,0.0,0.002,0.08548246395020258,5.6394940330868675,0.0,0.0
2,0.0,0.0,0.0006666666666666666,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0,0.0
